"","geo_merge","cases_final","case_rate_final","adj_case_rate_final","deaths_final","death_rate_final","adj_death_rate_final","persons_tested_final","testing_rate_final","adj_testing_rate_final","population"
"139","Los Angeles - Hollywood Hills",111,377,387,5,17,16,3451,11725,11921,29434
"140","Los Angeles - Hyde Park",250,876,843,5,18,14,3098,10855,10658,28541
"141","Los Angeles - Jefferson Park",87,1078,1070,0,0,0,796,9860,9737,8073
"142","Los Angeles - Koreatown",457,884,853,18,35,34,4012,7761,7298,51693
"143","Los Angeles - Lafayette Square",30,658,647,0,0,0,438,9607,9221,4559
"144","Los Angeles - Lake Balboa",320,758,741,9,21,23,4452,10548,10237,42206
"145","Los Angeles - Lakeview Terrace",223,1698,1684,6,46,43,1552,11818,11698,13133
"146","Los Angeles - Leimert Park",96,630,617,2,13,8,1749,11480,10818,15235
"147","Los Angeles - Lincoln Heights",457,1402,1360,29,89,77,4030,12363,12030,32597
"148","Los Angeles - Little Armenia",244,3040,2591,40,498,401,1035,12897,11312,8025
"149","Los Angeles - Little Bangladesh",225,794,778,4,14,15,2459,8676,8401,28343
"150","Los Angeles - Little Tokyo",34,1085,956,2,64,21,718,22917,23697,3133
"151","Los Angeles - Longwood",45,1046,1011,0,0,0,551,12802,12493,4304
"152","Los Angeles - Los Feliz",77,356,356,1,5,3,2751,12731,13559,21608
"153","Los Angeles - Manchester Square",45,527,511,1,12,9,827,9688,9509,8536
"154","Los Angeles - Mandeville Canyon",3,96,179,0,0,0,369,11812,14645,3124
"155","Los Angeles - Mar Vista",118,278,263,5,12,9,4433,10438,10234,42471
"156","Los Angeles - Marina Peninsula",19,436,376,0,0,0,704,16147,19111,4360
"157","Los Angeles - Melrose",823,1059,1022,45,58,59,9268,11929,11198,77696
"158","Los Angeles - Mid-city",157,1045,954,20,133,120,1929,12834,12296,15030
"159","Los Angeles - Miracle Mile",61,339,287,5,28,25,2227,12383,11405,17985
"160","Los Angeles - Mission Hills",258,1069,1034,12,50,45,2839,11768,11191,24124
"161","Los Angeles - Mt. Washington",167,692,668,4,17,15,2411,9986,9808,24145
"162","Los Angeles - North Hills",740,1202,1185,28,45,53,5825,9460,9322,61575
"163","Los Angeles - North Hollywood",1159,765,722,30,20,22,13963,9221,8649,151421
"164","Los Angeles - Northridge",553,792,753,36,52,42,7749,11102,10529,69797
"165","Los Angeles - Pacific Palisades",63,296,356,3,14,6,2436,11441,12000,21291
"166","Los Angeles - Pacoima",1228,1595,1620,21,27,35,8675,11269,11398,76979
"167","Los Angeles - Palisades Highlands",9,234,206,0,0,0,336,8736,8548,3846
"168","Los Angeles - Palms",276,629,681,24,55,73,4965,11316,11198,43877
"169","Los Angeles - Panorama City",1207,1604,1640,55,73,99,7720,10259,10241,75250
"170","Los Angeles - Park La Brea",35,258,227,1,7,8,1213,8932,8227,13580
"171","Los Angeles - Pico-Union",889,2125,2200,65,155,186,3991,9538,9434,41842
"172","Los Angeles - Playa Del Rey",6,188,217,0,0,0,309,9668,9478,3196
"173","Los Angeles - Playa Vista",43,393,363,0,0,0,1307,11939,11675,10947
"174","Los Angeles - Porter Ranch",139,391,404,6,17,10,3309,9298,8762,35588
"175","Los Angeles - Rancho Park",25,381,410,0,0,0,831,12668,13464,6560
"176","Los Angeles - Regent Square",13,468,458,0,0,0,231,8309,7715,2780
"177","Los Angeles - Reseda",907,1184,1138,47,61,56,10611,13849,13063,76617
"178","Los Angeles - Reseda Ranch",38,820,718,0,0,0,500,10785,10244,4636
"179","Los Angeles - Reynier Village",22,520,555,0,0,0,444,10501,10533,4228
"180","Los Angeles - San Pedro",1134,1453,1443,21,27,24,6049,7751,7528,78038
"181","Los Angeles - Shadow Hills",18,405,496,0,0,0,395,8892,8213,4442
"182","Los Angeles - Sherman Oaks",355,407,420,14,16,14,10833,12415,12467,87254
"183","Los Angeles - Silverlake",269,610,579,14,32,28,6160,13974,13775,44083
"184","Los Angeles - South Carthay",46,434,512,1,9,6,1253,11826,12988,10595
"185","Los Angeles - South Park",802,2113,2167,14,37,47,3747,9871,10238,37961
"186","Los Angeles - St Elmo Village",61,1331,1505,6,131,204,658,14354,15236,4584
"187","Los Angeles - Studio City",104,463,476,8,36,32,3118,13895,13865,22440
"188","Los Angeles - Sun Valley",487,928,893,10,19,20,4579,8725,8459,52483
"189","Los Angeles - Sunland",212,1039,893,20,98,67,2237,10961,10129,20408
"190","Los Angeles - Sycamore Square",1,155,79,0,0,0,101,15611,14982,647
"191","Los Angeles - Sylmar",1231,1494,1500,54,66,81,9647,11708,11582,82398
"192","Los Angeles - Tarzana",329,1066,933,26,84,53,3861,12505,11705,30876
"193","Los Angeles - Temple-Beaudry",527,1335,1276,14,35,40,4078,10329,9572,39482
"194","Los Angeles - Thai Town",53,540,474,0,0,0,988,10072,9288,9809
"195","Los Angeles - Toluca Lake",27,310,357,0,0,0,1045,12006,12810,8704
"196","Los Angeles - Toluca Terrace",8,613,706,1,77,72,118,9035,8394,1306
"197","Los Angeles - Toluca Woods",4,215,155,0,0,0,214,11518,12143,1858
"198","Los Angeles - Tujunga",174,626,589,11,40,33,2352,8457,7766,27810
"199","Los Angeles - University Hills",19,554,533,1,29,19,303,8836,9137,3429
"200","Los Angeles - University Park",341,1242,1853,6,22,35,1923,7004,8089,27456
"201","Los Angeles - Valley Glen",211,703,665,9,30,30,2731,9098,8728,30016
"202","Los Angeles - Valley Village",289,1169,1072,21,85,71,3215,13006,12685,24720
"203","Los Angeles - Van Nuys",1166,1251,1259,40,43,55,8823,9467,9361,93194
"204","Los Angeles - Venice",89,263,284,2,6,6,3859,11389,12048,33885
"205","Los Angeles - Vermont Knolls",319,1855,1837,5,29,35,1841,10703,10755,17200
"206","Los Angeles - Vermont Square",146,1907,1878,2,26,24,843,11010,10926,7657
"207","Los Angeles - Vermont Vista",734,1782,1857,11,27,37,4023,9768,10193,41186
"208","Los Angeles - Vernon Central",1232,2369,2429,17,33,45,5852,11254,11588,51998
"209","Los Angeles - Victoria Park",83,988,942,2,24,20,709,8441,8197,8399
"210","Los Angeles - View Heights",15,406,391,2,54,42,383,10368,9764,3694
"211","Los Angeles - Watts",656,1537,1656,12,28,48,4068,9533,10165,42674
"212","Los Angeles - Wellington Square",44,895,861,0,0,0,516,10498,10244,4915
"213","Los Angeles - West Adams",383,1386,1356,26,94,99,3531,12780,12356,27630
"214","Los Angeles - West Hills",210,518,474,22,54,32,4302,10610,10202,40545
"215","Los Angeles - West Los Angeles",173,460,435,7,19,20,4936,13115,12406,37636
"216","Los Angeles - West Vernon",880,1640,1632,23,43,51,6345,11828,11832,53644
"217","Los Angeles - Westchester",156,302,290,11,21,18,5074,9833,9316,51603
"218","Los Angeles - Westlake",1304,2197,2273,98,165,192,6094,10267,10286,59355
"219","Los Angeles - Westwood",122,225,227,5,9,9,4716,8716,8958,54109
"220","Los Angeles - Wholesale District",1128,3122,2652,10,28,35,8649,23939,20716,36129
